BuildingType,PrimaryPropertyType,YearBuilt,Neighborhood,NumberofFloors,PropertyGFAParking,PropertyGFABuilding(s),ENERGYSTARScore_imputer,SiteEUIWN(kBtu/sf),GHGEmissionsIntensity,CategorieEnergie,LPUT,SLPUT,ENERGYSTARScore
NonResidential,Hotel,1927,downtown,12,0,88434,60.0,84.30000305,2.83,Mixte,Medium,Medium,60.0
NonResidential,Hotel,1996,downtown,11,15064,88502,61.0,97.90000153,2.86,GazNaturel & Électricité,Medium,Medium,61.0
NonResidential,Hotel,1969,downtown,41,196718,759392,43.0,97.69999695,2.19,Électricité & Vapeur,Medium,Medium,43.0
NonResidential,Hotel,1926,downtown,10,0,61320,56.0,113.3000031,4.67,Mixte,Medium,Medium,56.0
NonResidential,Hotel,1980,downtown,18,62000,113580,75.0,118.6999969,2.88,GazNaturel & Électricité,Medium,Medium,75.0
Nonresidential COS,Other,1999,downtown,2,37198,60090,49.333333333333336,141.6000061,3.1,Électricité & GazNaturel,High,High,
NonResidential,Hotel,1926,downtown,11,0,83008,27.0,74.5,2.12,GazNaturel & Électricité,Medium,Medium,27.0
NonResidential,Other,1926,downtown,8,0,102761,83.66666666666667,68.80000305,2.16,Électricité & Vapeur,Medium,Medium,
NonResidential,Hotel,1904,downtown,15,0,163984,43.0,86.59999847,2.39,Électricité & GazNaturel,Medium,Medium,43.0
NonResidential,Hotel,1969,downtown,11,19279,133884,30.0,124.3000031,4.51,Mixte,Medium,Medium,30.0
NonResidential,Hotel,1998,downtown,25,61161,272015,36.0,80.40000153,2.22,Mixte,Medium,Medium,36.0
NonResidential,Hotel,1928,downtown,9,0,65009,48.0,97.80000305,5.05,Mixte,Medium,Medium,48.0
NonResidential,Hotel,1980,downtown,33,57600,258352,58.0,76.19999695,2.05,Mixte,Medium,Medium,58.0
NonResidential,Hotel,1922,downtown,11,25200,66990,35.0,165.8999939,5.55,Mixte,Medium,Medium,35.0
Nonresidential COS,Other,2004,downtown,11,57000,355000,76.66666666666667,51.09999847,0.44,Électricité,Medium,Medium,
NonResidential,Other,1930,downtown,6,0,103911,31.666666666666668,78.40000153,4.18,Vapeur & Électricité,Medium,Medium,
NonResidential,Hotel,1983,downtown,28,85000,331281,31.0,98.59999847,1.93,Électricité & GazNaturel,Medium,Medium,31.0
NonResidential,Mixed Use Property,1907,downtown,5,0,57452,37.0,137.1000061,4.75,Mixte,Medium,Medium,
NonResidential,Hotel,1916,downtown,10,0,104352,39.0,97.30000305,3.35,Électricité & Vapeur,Medium,Medium,39.0
NonResidential,Other,1916,downtown,10,0,540360,76.0,87.5,2.34,Électricité & GazNaturel,Medium,Medium,76.0
NonResidential,Other,1985,downtown,19,0,385274,53.0,128.6000061,4.41,GazNaturel & Électricité,Medium,Medium,
NonResidential,Hotel,2001,northeast,6,30586,58006,84.0,63.29999924,1.02,Électricité & GazNaturel,Medium,Medium,84.0
NonResidential,University,1928,downtown,7,0,126593,61.333333333333336,97.5,3.07,GazNaturel & Électricité,Medium,Medium,
NonResidential,Other,1930,downtown,2,0,67224,72.0,19.5,0.14,Électricité,Low,Low,
NonResidential,Hotel,1991,east,8,30301,128375,88.0,46.29999924,1.62,GazNaturel,Medium,Medium,
NonResidential,Hotel,2001,downtown,10,38281,133585,57.0,86.69999695,1.91,Électricité & GazNaturel,Medium,Medium,57.0
NonResidential,Hotel,1978,downtown,5,16200,52210,57.0,95.0,1.88,Électricité & GazNaturel,Medium,Medium,57.0
NonResidential,Small- and Mid-Sized Office,1906,lake union,3,0,87262,67.66666666666667,69.80000305,1.81,GazNaturel & Électricité,Medium,Medium,
NonResidential,Hotel,1994,northeast,4,0,81871,29.0,82.19999695,2.63,GazNaturel & Électricité,Medium,Medium,29.0
NonResidential,Self-Storage Facility,1955,northeast,2,0,110356,75.33333333333333,12.39999962,0.04,Électricité,Low,Low,
Campus,Mixed Use Property,1992,greater duwamish,3,0,494835,8.0,233.1000061,34.09,GazNaturel & Électricité,Medium,Medium,8.0
NonResidential,Warehouse,1961,greater duwamish,2,0,714095,71.66666666666667,45.79999924,0.44,Électricité,Low,Low,
SPS-District K-12,K-12 School,1990,magnolia / queen anne,2,0,54986,97.0,32.79999924,0.57,Électricité,Low,Low,97.0
NonResidential,Small- and Mid-Sized Office,1961,ballard,2,0,94900,57.0,68.90000153,1.38,Électricité & GazNaturel,Medium,Medium,57.0
NonResidential,Small- and Mid-Sized Office,1900,greater duwamish,2,0,52554,83.0,53.5,1.6,Électricité & GazNaturel,Medium,Medium,83.0
NonResidential,K-12 School,1954,northwest,3,0,175015,95.0,45.09999847,1.42,GazNaturel & Électricité,Low,Low,95.0
NonResidential,Self-Storage Facility,1911,downtown,3,0,70586,44.666666666666664,33.09999847,0.64,Électricité & GazNaturel,Low,Low,
NonResidential,Hotel,1969,downtown,24,205970,126240,67.0,46.40000153,0.89,Électricité,Medium,Medium,67.0
NonResidential,Large Office,1973,downtown,5,0,168115,78.0,56.29999924,0.4,Électricité,Medium,Medium,78.0
NonResidential,Other,1920,downtown,2,0,57428,99.33333333333333,21.60000038,0.58,Électricité & GazNaturel,High,High,
NonResidential,Small- and Mid-Sized Office,1910,downtown,8,0,59400,14.0,88.30000305,0.6,Électricité,Medium,Medium,14.0
NonResidential,Mixed Use Property,1926,downtown,2,0,52549,50.666666666666664,299.0,11.12,GazNaturel & Électricité,Medium,Medium,
NonResidential,Hotel,1930,downtown,20,10043,88591,71.0,57.29999924,0.6,Électricité,Medium,Medium,71.0
NonResidential,Hotel,1982,downtown,34,146694,847518,63.0,82.80000305,2.47,Mixte,Medium,Medium,63.0
NonResidential,Hotel,1985,downtown,7,0,71150,98.0,93.09999847,1.89,Électricité & GazNaturel,Medium,Medium,98.0
NonResidential,Hotel,1908,downtown,7,0,122810,99.0,49.59999847,1.85,GazNaturel,Medium,Medium,99.0
NonResidential,Hotel,1959,lake union,5,42546,70627,86.0,76.90000153,1.28,Électricité & GazNaturel,Medium,Medium,86.0
NonResidential,Hotel,2000,lake union,7,34735,115718,84.0,61.79999924,1.33,Électricité & GazNaturel,Medium,Medium,84.0
NonResidential,Hotel,1997,lake union,6,28200,88100,80.0,67.09999847,1.4,Électricité & GazNaturel,Medium,Medium,80.0
NonResidential,Hotel,1998,magnolia / queen anne,6,36744,118858,81.0,44.0,0.98,Électricité & GazNaturel,Medium,Medium,81.0
NonResidential,K-12 School,1911,east,3,0,56072,76.0,67.80000305,2.61,GazNaturel,Low,Low,76.0
NonResidential,Hotel,1999,magnolia / queen anne,4,44891,78051,94.0,69.0,1.4,GazNaturel & Électricité,Medium,Medium,94.0
NonResidential,Small- and Mid-Sized Office,1962,central,2,0,54984,71.0,66.0,1.6,Électricité & GazNaturel,Medium,Medium,71.0
NonResidential,Senior Care Community,1922,southwest,5,0,217603,54.0,153.6999969,7.94,GazNaturel,High,High,54.0
NonResidential,Senior Care Community,1970,northwest,2,0,93397,1.0,181.6000061,6.52,GazNaturel & Électricité,High,High,1.0
NonResidential,Hotel,2008,lake union,6,20732,63371,74.0,59.79999924,0.8,Électricité,Medium,Medium,74.0
NonResidential,Medical Office,1965,east,3,0,179014,48.0,92.30000305,2.41,Électricité & GazNaturel,Medium,Medium,48.0
NonResidential,Hotel,1908,east,7,0,76631,71.0,94.59999847,3.43,GazNaturel & Électricité,Medium,Medium,71.0
NonResidential,Mixed Use Property,1983,east,6,9341,90439,2.6666666666666665,207.3000031,4.83,Électricité & Vapeur,Medium,Medium,
NonResidential,Retail Store,1929,lake union,2,0,58320,96.0,17.20000076,0.67,GazNaturel & Électricité,Medium,Medium,96.0
NonResidential,Large Office,2010,lake union,5,0,316306,96.0,48.40000153,0.44,Électricité,Medium,Medium,96.0
NonResidential,Hotel,1990,lake union,7,44766,238097,37.0,85.59999847,1.86,Électricité & GazNaturel,Medium,Medium,37.0
Nonresidential COS,Other,1962,magnolia / queen anne,1,0,389000,73.0,64.5,1.56,Électricité & Vapeur,Medium,Medium,
Nonresidential COS,Other,1962,magnolia / queen anne,1,0,91213,34.666666666666664,125.9000015,3.77,Vapeur & Électricité,Medium,Medium,
Nonresidential COS,Other,1938,magnolia / queen anne,5,0,396085,69.33333333333333,76.30000305,2.03,Vapeur & Électricité,Medium,Medium,
NonResidential,Large Office,2010,lake union,12,0,571329,91.0,64.19999695,1.08,Électricité,Medium,Medium,91.0
Nonresidential COS,Other,1962,magnolia / queen anne,2,0,52000,70.0,51.59999847,1.96,Électricité & Vapeur,Medium,Medium,
Nonresidential COS,Other,1928,magnolia / queen anne,1,0,60696,98.0,8.100000381,0.1,Électricité,Medium,Medium,
Nonresidential COS,Other,1928,magnolia / queen anne,2,0,262048,66.0,70.30000305,1.87,Électricité,Medium,Medium,
NonResidential,Small- and Mid-Sized Office,1986,magnolia / queen anne,2,2352,63888,44.666666666666664,75.40000153,0.44,Électricité,Medium,Medium,
NonResidential,Large Office,2010,magnolia / queen anne,6,303707,616891,93.0,51.79999924,0.73,Électricité,Medium,Medium,93.0
NonResidential,Small- and Mid-Sized Office,1970,magnolia / queen anne,4,25930,50283,68.0,71.59999847,0.64,Électricité,Medium,Medium,68.0
NonResidential,Hotel,2002,magnolia / queen anne,6,36934,59976,56.0,87.90000153,1.57,Électricité & GazNaturel,Medium,Medium,56.0
NonResidential,Hotel,1962,northeast,4,0,50017,53.0,110.5,3.82,GazNaturel & Électricité,Medium,Medium,53.0
NonResidential,K-12 School,1923,east,3,0,67743,34.0,44.79999924,1.16,Électricité & GazNaturel,Low,Low,34.0
NonResidential,K-12 School,1908,east,6,0,194104,100.0,37.09999847,1.25,GazNaturel & Électricité,Low,Low,100.0
NonResidential,Small- and Mid-Sized Office,2003,southeast,3,35752,63681,63.0,78.19999695,0.34,Électricité,Medium,Medium,63.0
NonResidential,Other,1941,northeast,4,0,56521,7.333333333333333,129.8999939,0.78,Électricité,Medium,Medium,
NonResidential,Other,1929,northeast,2,0,206934,89.0,36.79999924,0.65,GazNaturel & Électricité,Medium,Medium,
NonResidential,Hotel,2001,northwest,4,0,51390,89.0,70.40000153,2.48,GazNaturel & Électricité,Medium,Medium,89.0
SPS-District K-12,K-12 School,1959,northwest,1,0,245587,92.0,52.40000153,1.81,GazNaturel & Électricité,Low,Low,92.0
NonResidential,Hotel,2002,northwest,3,0,69138,78.0,47.09999847,1.29,Électricité & GazNaturel,Medium,Medium,78.0
NonResidential,Hotel,1904,downtown,5,0,190980,98.0,34.09999847,0.75,Électricité & GazNaturel,Medium,Medium,98.0
Nonresidential COS,Other,1998,downtown,6,0,284100,74.66666666666667,78.40000153,1.51,Électricité & Vapeur,Medium,Medium,
NonResidential,Hospital,1954,ballard,5,0,285333,14.0,157.3000031,6.98,Électricité & GazNaturel,High,High,14.0
Nonresidential COS,Other,2006,downtown,4,0,61156,46.333333333333336,132.6999969,2.89,Électricité,Medium,Medium,
NonResidential,Other,1910,downtown,4,13820,59000,99.33333333333333,36.09999847,0.64,Électricité & GazNaturel,High,High,
NonResidential,Hotel,1996,magnolia / queen anne,4,14200,148022,76.0,70.5,1.41,Électricité & GazNaturel,Medium,Medium,76.0
NonResidential,University,1915,east,3,0,63330,70.66666666666667,50.70000076,1.17,Électricité & GazNaturel,Medium,Medium,
Campus,University,1970,delridge,2,0,441071,68.66666666666667,85.19999695,1.96,Électricité & GazNaturel,Medium,Medium,
NonResidential,Small- and Mid-Sized Office,2002,northeast,2,0,96300,12.333333333333334,167.3999939,2.31,Électricité,Medium,Medium,
Nonresidential COS,Other,1950,greater duwamish,1,0,67356,41.0,118.3000031,3.03,Électricité & GazNaturel,Medium,Medium,
NonResidential,Small- and Mid-Sized Office,1958,greater duwamish,1,0,54765,22.333333333333332,88.69999695,1.12,Électricité,Medium,Medium,
NonResidential,Other,2009,greater duwamish,5,0,89821,96.0,25.0,1.12,GazNaturel,Medium,Medium,
NonResidential,University,1980,magnolia / queen anne,2,0,52611,72.66666666666667,83.40000153,1.98,Électricité & GazNaturel,Medium,Medium,
NonResidential,Residence Hall,2001,magnolia / queen anne,4,37500,102100,89.0,35.40000153,0.93,Électricité & GazNaturel,Medium,Medium,89.0
SPS-District K-12,K-12 School,2011,north,2,0,236758,96.0,38.90000153,0.94,Électricité & GazNaturel,Low,Low,96.0
NonResidential,Other,1971,central,6,0,250981,83.0,65.69999695,1.68,Électricité & Vapeur,Medium,Medium,
NonResidential,Other,2004,downtown,11,68432,230638,26.666666666666668,264.0,6.87,GazNaturel & Électricité,Medium,Medium,
NonResidential,Small- and Mid-Sized Office,2007,greater duwamish,3,0,64015,21.0,62.5,0.77,Électricité,Medium,Medium,21.0
NonResidential,Retail Store,1951,north,1,0,530039,98.0,54.29999924,1.36,Électricité & GazNaturel,Medium,Medium,98.0
NonResidential,Other,1964,north,3,0,54224,43.333333333333336,163.1000061,4.27,GazNaturel & Électricité,High,High,
NonResidential,Retail Store,1965,north,4,0,124342,76.0,71.59999847,0.53,Électricité,Medium,Medium,76.0
NonResidential,Hospital,1953,northeast,10,0,879000,10.0,293.2000122,9.27,GazNaturel & Électricité,High,High,10.0
NonResidential,Other,1996,northwest,3,0,55442,72.0,88.90000153,1.51,Électricité & GazNaturel,Medium,Medium,72.0
NonResidential,Self-Storage Facility,1910,east,5,0,84870,79.33333333333333,18.89999962,0.6,GazNaturel & Électricité,Low,Low,
Campus,University,1970,northwest,2,111625,582447,78.0,56.09999847,0.52,Électricité,Medium,Medium,
NonResidential,Warehouse,1904,greater duwamish,4,0,114297,61.0,21.10000038,0.61,GazNaturel & Électricité,Low,Low,61.0
NonResidential,Warehouse,1937,greater duwamish,1,0,234144,87.0,33.59999847,1.27,GazNaturel,Low,Low,87.0
NonResidential,Retail Store,1966,delridge,1,0,64984,72.0,46.09999847,0.55,Électricité,Medium,Medium,72.0
NonResidential,Retail Store,1965,delridge,1,0,67745,37.0,141.5,5.45,GazNaturel,Medium,Medium,37.0
SPS-District K-12,K-12 School,2010,delridge,2,0,367884,97.0,36.09999847,0.74,Électricité & GazNaturel,Low,Low,97.0
NonResidential,Other,1973,ballard,3,0,56000,93.66666666666667,37.29999924,1.06,GazNaturel & Électricité,Medium,Medium,
NonResidential,Self-Storage Facility,1969,southwest,2,0,52088,64.66666666666667,30.29999924,0.94,GazNaturel & Électricité,Low,Low,
NonResidential,Hotel,1998,lake union,5,30000,93920,79.0,78.09999847,2.5,GazNaturel & Électricité,Medium,Medium,79.0
Nonresidential COS,Other,1900,lake union,1,0,50000,45.333333333333336,184.6999969,4.51,Électricité & GazNaturel,High,High,
Nonresidential COS,Warehouse,1926,magnolia / queen anne,2,0,50292,74.66666666666667,8.0,0.06,Électricité,Low,Low,
NonResidential,Hotel,1998,magnolia / queen anne,7,54341,153315,76.0,83.0,1.63,GazNaturel & Électricité,Medium,Medium,76.0
Nonresidential COS,Small- and Mid-Sized Office,1957,northwest,2,0,91130,44.333333333333336,106.0999985,1.93,Électricité,Medium,Medium,
NonResidential,Hotel,1968,northwest,4,0,64893,70.0,95.69999695,3.21,GazNaturel & Électricité,Medium,Medium,70.0
NonResidential,Small- and Mid-Sized Office,1900,downtown,3,0,44558,78.0,38.59999847,0.63,Électricité,Medium,Medium,78.0
NonResidential,Other,1999,greater duwamish,6,327680,1258280,90.0,39.20000076,0.56,Électricité,Medium,Medium,
Nonresidential COS,Distribution Center,1924,greater duwamish,2,0,179161,51.333333333333336,56.29999924,0.54,Électricité,Low,Low,
Nonresidential COS,Warehouse,1965,greater duwamish,2,0,58640,43.333333333333336,61.5,0.47,Électricité,Low,Low,
NonResidential,Other,1999,greater duwamish,3,0,1172127,82.66666666666667,49.0,1.06,Électricité & GazNaturel,Medium,Medium,
NonResidential,Hotel,2005,greater duwamish,9,14567,153882,64.0,89.19999695,2.31,GazNaturel & Électricité,Medium,Medium,64.0
NonResidential,Warehouse,1916,greater duwamish,4,0,79600,34.0,30.29999924,0.21,Électricité,Low,Low,34.0
Campus,Large Office,1980,greater duwamish,2,31874,302494,9.666666666666666,161.8999939,2.24,Électricité,Medium,Medium,
NonResidential,Other,2008,north,6,335109,84739,58.333333333333336,109.0,0.39,Électricité,Medium,Medium,
NonResidential,Mixed Use Property,2002,magnolia / queen anne,4,0,110785,45.666666666666664,98.09999847,0.84,Électricité,Medium,Medium,
NonResidential,Hotel,1999,downtown,1,0,934292,66.0,120.5,1.75,Électricité & GazNaturel,Medium,Medium,
NonResidential,Hospital,1990,central,5,0,597519,34.0,244.8000031,8.21,GazNaturel & Électricité,High,High,34.0
NonResidential,Warehouse,1991,lake union,3,8161,67236,91.0,8.5,0.13,Électricité,Low,Low,91.0
NonResidential,Hospital,2000,east,8,0,1158691,29.0,219.6999969,9.26,Électricité & Vapeur,High,High,29.0
NonResidential,Senior Care Community,1999,downtown,5,12611,90185,10.0,100.0,1.89,Électricité,High,High,
NonResidential,K-12 School,1928,northeast,2,0,55653,98.0,28.79999924,1.31,GazNaturel,Low,Low,98.0
NonResidential,Hotel,1931,northeast,16,0,106860,49.0,118.0999985,4.39,GazNaturel,Medium,Medium,49.0
NonResidential,Small- and Mid-Sized Office,1972,north,5,0,50759,62.0,65.40000153,0.97,Électricité,Medium,Medium,62.0
NonResidential,Worship Facility,1952,northeast,2,0,56772,46.0,48.70000076,1.49,GazNaturel & Électricité,Low,Low,46.0
NonResidential,Worship Facility,1952,northeast,3,0,103000,42.0,52.29999924,1.46,GazNaturel & Électricité,Low,Low,42.0
NonResidential,Other,1914,downtown,7,0,128766,81.33333333333333,47.0,0.44,Électricité,Medium,Medium,
NonResidential,Residence Hall,1913,downtown,9,0,107572,76.0,57.79999924,2.37,Vapeur & Électricité,Medium,Medium,76.0
NonResidential,Other,1955,downtown,15,0,230880,34.0,303.7999878,1.88,Électricité,Medium,Medium,
NonResidential,Other,1973,magnolia / queen anne,1,0,76086,74.66666666666667,46.0,1.33,GazNaturel & Électricité,Medium,Medium,
NonResidential,Medical Office,1927,magnolia / queen anne,5,39000,151000,1.0,183.5,3.48,Électricité & GazNaturel,Medium,Medium,1.0
NonResidential,Hotel,1961,downtown,4,0,122309,8.0,213.6000061,8.67,GazNaturel,Medium,Medium,8.0
Campus,Other,1995,downtown,3,0,215476,43.0,113.3000031,2.97,Électricité & GazNaturel,Medium,Medium,
NonResidential,Hotel,2003,downtown,8,38800,215473,29.0,96.90000153,3.07,Électricité & GazNaturel,Medium,Medium,29.0
Nonresidential COS,Other,1980,downtown,2,0,69400,2.6666666666666665,219.5,4.35,Électricité,Medium,Medium,
NonResidential,Mixed Use Property,1900,downtown,1,0,62900,42.666666666666664,165.6999969,6.0,GazNaturel & Électricité,High,High,
NonResidential,Small- and Mid-Sized Office,1914,downtown,4,0,56500,98.0,37.5,0.78,Électricité & Vapeur,Medium,Medium,98.0
NonResidential,Warehouse,2008,greater duwamish,4,0,203504,72.0,19.39999962,0.13,Électricité,Low,Low,72.0
NonResidential,Large Office,1968,downtown,3,26731,74003,20.0,98.19999695,0.68,Électricité,Medium,Medium,20.0
NonResidential,Small- and Mid-Sized Office,1981,downtown,4,18504,59158,57.0,83.19999695,0.88,Électricité,Medium,Medium,57.0
NonResidential,Large Office,1978,downtown,12,21790,212210,39.0,90.09999847,0.64,Électricité,Medium,Medium,39.0
NonResidential,Large Office,1989,downtown,25,0,369996,74.0,64.5,0.47,Électricité,Medium,Medium,74.0
NonResidential,Retail Store,1925,downtown,10,0,693450,93.0,57.70000076,0.57,Électricité,Medium,Medium,93.0
NonResidential,Large Office,1976,downtown,33,0,791396,89.0,62.40000153,0.4,Électricité,Medium,Medium,89.0
NonResidential,Large Office,2000,downtown,23,205076,542671,90.0,57.40000153,0.48,Électricité,Medium,Medium,90.0
NonResidential,Small- and Mid-Sized Office,1926,downtown,10,7757,55652,90.0,74.40000153,2.69,Vapeur & Électricité,Medium,Medium,90.0
NonResidential,Large Office,1930,downtown,17,30000,174790,91.0,46.5,0.49,Électricité,Medium,Medium,91.0
NonResidential,Small- and Mid-Sized Office,1916,downtown,5,0,73399,61.0,64.90000153,0.36,Électricité,Medium,Medium,61.0
NonResidential,Large Office,1969,downtown,20,32334,233517,90.0,69.5,2.12,Électricité & Vapeur,Medium,Medium,90.0
NonResidential,Large Office,2009,downtown,25,228668,529375,95.0,46.40000153,0.3,Électricité,Medium,Medium,95.0
NonResidential,Large Office,1968,downtown,12,0,206000,91.0,56.40000153,1.08,Électricité,Medium,Medium,91.0
NonResidential,Large Office,2009,downtown,36,154972,669915,97.0,52.90000153,0.33,Électricité,Medium,Medium,97.0
NonResidential,Large Office,1990,downtown,16,141600,339240,94.0,54.40000153,0.27,Électricité,Medium,Medium,94.0
NonResidential,Small- and Mid-Sized Office,1900,downtown,7,0,89550,85.0,50.59999847,0.58,Électricité,Medium,Medium,85.0
NonResidential,Small- and Mid-Sized Office,1900,downtown,6,0,89355,66.0,46.90000153,0.36,Électricité,Medium,Medium,66.0
NonResidential,Large Office,1922,downtown,15,0,388934,89.0,48.79999924,0.55,Électricité,Medium,Medium,89.0
NonResidential,Large Office,1929,downtown,22,0,384302,98.0,29.60000038,0.18,Électricité,Medium,Medium,98.0
NonResidential,Large Office,1958,downtown,17,84600,293925,69.0,0.0,2.48,Électricité & Vapeur,Medium,Medium,69.0
NonResidential,Large Office,1983,downtown,47,0,1323055,94.0,42.59999847,0.24,Électricité,Medium,Medium,94.0
NonResidential,Large Office,1986,downtown,41,129432,460489,84.0,51.20000076,0.29,Électricité,Medium,Medium,84.0
NonResidential,Small- and Mid-Sized Office,1950,downtown,6,1392,89699,99.0,21.39999962,0.51,Électricité,Medium,Medium,
NonResidential,Large Office,1968,downtown,8,62993,94948,81.0,44.09999847,0.17,Électricité,Medium,Medium,81.0
NonResidential,Large Office,1991,downtown,29,197231,438072,95.0,35.90000153,0.22,Électricité,Medium,Medium,95.0
NonResidential,Large Office,1980,downtown,34,162604,614158,81.0,53.79999924,0.3,Électricité,Medium,Medium,81.0
NonResidential,Large Office,1972,downtown,14,23775,162993,95.0,53.90000153,1.17,Électricité,Medium,Medium,95.0
NonResidential,Large Office,1969,downtown,49,368980,754455,89.0,55.5,0.56,Électricité,Medium,Medium,89.0
NonResidential,Large Office,2002,downtown,37,164420,888049,93.0,47.20000076,0.27,Électricité,Medium,Medium,93.0
NonResidential,Large Office,1973,downtown,42,171500,446184,28.0,119.4000015,0.88,Électricité,Medium,Medium,28.0
NonResidential,Large Office,1907,downtown,8,0,201480,91.0,47.20000076,0.87,Électricité,Medium,Medium,91.0
Nonresidential COS,Large Office,1990,downtown,63,159600,1195387,89.0,50.40000153,0.32,Électricité,Medium,Medium,89.0
Nonresidential COS,Large Office,2001,downtown,14,0,310490,73.66666666666667,73.59999847,1.23,Électricité,Medium,Medium,
Nonresidential COS,Large Office,2003,downtown,8,30660,168870,69.0,77.40000153,1.5,Électricité & GazNaturel,Medium,Medium,69.0
NonResidential,Large Office,2006,downtown,13,52703,319539,98.0,43.40000153,0.58,Électricité,Medium,Medium,98.0
NonResidential,Large Office,1909,downtown,7,8296,106099,99.0,30.79999924,0.61,Électricité & GazNaturel,Medium,Medium,99.0
NonResidential,Retail Store,1978,northeast,2,0,89200,83.0,75.19999695,1.0,Électricité,Medium,Medium,83.0
NonResidential,Large Office,1971,northeast,23,0,474546,77.0,63.20000076,0.42,Électricité,Medium,Medium,77.0
NonResidential,Other,1969,northeast,5,0,36000,96.0,834.4000244,5.82,Électricité,High,High,96.0
NonResidential,Small- and Mid-Sized Office,1961,northeast,5,0,99005,70.0,63.0,1.2,Électricité & GazNaturel,Medium,Medium,70.0
NonResidential,Large Office,2002,northeast,6,44248,90803,88.0,46.09999847,0.23,Électricité,Medium,Medium,88.0
NonResidential,Large Office,2002,northeast,5,82720,137929,93.0,48.29999924,0.22,Électricité,Medium,Medium,93.0
NonResidential,Self-Storage Facility,1964,downtown,5,0,93660,91.0,10.0,0.07,Électricité,Low,Low,
NonResidential,Large Office,1980,downtown,18,64660,349055,79.0,69.59999847,0.41,Électricité,Medium,Medium,79.0
NonResidential,Mixed Use Property,2000,downtown,11,195621,185760,94.0,49.20000076,0.19,Électricité,Medium,Medium,94.0
NonResidential,Large Office,1988,downtown,20,118744,378769,65.0,0.0,0.4,Électricité,Medium,Medium,65.0
NonResidential,Large Office,1979,downtown,24,116721,427155,79.0,61.70000076,0.32,Électricité,Medium,Medium,79.0
NonResidential,Mixed Use Property,1980,downtown,4,38700,70647,64.0,118.5999985,0.83,Électricité,High,High,
NonResidential,Large Office,1982,downtown,6,124216,272410,64.0,73.59999847,0.36,Électricité,Medium,Medium,64.0
NonResidential,Large Office,2002,downtown,6,83591,203880,74.0,74.90000153,0.36,Électricité,Medium,Medium,74.0
NonResidential,Large Office,1947,downtown,3,48512,144118,94.0,38.09999847,0.24,Électricité,Medium,Medium,94.0
NonResidential,Large Office,1984,downtown,8,61986,191117,3.0,161.1999969,0.82,Électricité,Medium,Medium,3.0
NonResidential,Supermarket / Grocery Store,1956,northwest,1,0,60880,54.0,239.0,6.31,Électricité & GazNaturel,High,High,54.0
NonResidential,Small- and Mid-Sized Office,1900,downtown,5,0,50176,77.0,46.59999847,0.5,Électricité,Medium,Medium,77.0
NonResidential,Large Office,1912,downtown,42,0,304346,72.0,94.5,2.44,Électricité & GazNaturel,Medium,Medium,72.0
NonResidential,Warehouse,1977,greater duwamish,1,0,128800,97.0,16.29999924,0.61,GazNaturel,Low,Low,97.0
NonResidential,Large Office,1927,downtown,8,0,321945,76.0,62.29999924,1.1,Électricité,Medium,Medium,76.0
NonResidential,Large Office,1964,downtown,22,0,336330,77.0,74.80000305,1.58,Électricité & Vapeur,Medium,Medium,77.0
NonResidential,Large Office,1960,downtown,21,0,298426,79.0,95.69999695,3.64,Électricité & Vapeur,Medium,Medium,79.0
NonResidential,Large Office,1976,downtown,42,0,635824,69.0,62.90000153,0.53,Électricité,Medium,Medium,69.0
NonResidential,Hotel,1923,downtown,12,0,542305,45.0,105.1999969,4.75,Vapeur & Électricité,Medium,Medium,45.0
NonResidential,Retail Store,1980,southeast,2,0,291940,80.0,41.40000153,0.56,Électricité,Medium,Medium,80.0
NonResidential,Mixed Use Property,1970,greater duwamish,1,0,88400,42.0,53.0,1.31,Électricité & GazNaturel,Low,Low,42.0
NonResidential,Warehouse,1960,northwest,1,0,52311,96.0,21.70000076,0.93,GazNaturel,Low,Low,96.0
NonResidential,Other,2009,lake union,5,69710,71421,95.33333333333333,43.09999847,0.15,Électricité,Medium,Medium,
NonResidential,Large Office,2001,lake union,5,70067,106465,60.0,56.09999847,0.23,Électricité,Medium,Medium,60.0
NonResidential,Warehouse,1973,ballard,1,0,52500,2.0,76.80000305,1.34,Électricité,Low,Low,2.0
NonResidential,Warehouse,1959,ballard,2,0,57300,55.0,88.90000153,2.73,GazNaturel & Électricité,Low,Low,55.0
NonResidential,Large Office,1916,downtown,6,0,350310,90.0,53.29999924,0.64,Électricité,Medium,Medium,90.0
NonResidential,Large Office,1988,downtown,55,285000,1115000,92.0,48.5,0.42,Électricité,Medium,Medium,92.0
NonResidential,Hotel,1930,downtown,21,0,305548,58.0,111.4000015,4.94,Vapeur & Électricité,Medium,Medium,58.0
NonResidential,Large Office,1989,downtown,46,512608,1023998,89.0,53.59999847,0.35,Électricité,Medium,Medium,89.0
NonResidential,Large Office,1958,downtown,10,0,135918,91.0,46.79999924,1.43,Électricité & Vapeur,Medium,Medium,91.0
NonResidential,Retail Store,1914,downtown,4,0,79957,25.0,79.09999847,0.46,Électricité,Medium,Medium,25.0
NonResidential,Large Office,1983,downtown,29,0,500000,93.0,45.20000076,0.26,Électricité,Medium,Medium,93.0
NonResidential,Large Office,1926,downtown,10,0,132326,72.0,53.70000076,0.49,Électricité,Medium,Medium,72.0
