BuildingType,PrimaryPropertyType,Neighborhood,YearBuilt,NumberofFloors,PropertyGFAParking,PropertyGFABuilding(s),ENERGYSTARScore,SiteEUIWN(kBtu/sf),GHGEmissionsIntensity,CategorieEnergie,ZipCode,TaxParcelId,LargestPropertyUseType
NonResidential,Hotel,downtown,1927,12,0,88434,60.0,84.30000305,2.83,Mixte,98101.0,6590,Hotel
NonResidential,Hotel,downtown,1996,11,15064,88502,61.0,97.90000153,2.86,GazNaturel & Électricité,98101.0,6590,Hotel
NonResidential,Hotel,downtown,1969,41,196718,759392,43.0,97.69999695,2.19,Électricité & Vapeur,98101.0,6590,Hotel
NonResidential,Hotel,downtown,1926,10,0,61320,56.0,113.3000031,4.67,Mixte,98101.0,6590,Hotel
NonResidential,Hotel,downtown,1980,18,62000,113580,75.0,118.6999969,2.88,GazNaturel & Électricité,98121.0,6590,Hotel
Nonresidential COS,Other,downtown,1999,2,37198,60090,,141.6000061,3.1,Électricité & GazNaturel,98101.0,6600,Police Station
NonResidential,Hotel,downtown,1926,11,0,83008,27.0,74.5,2.12,GazNaturel & Électricité,98101.0,6600,Hotel
NonResidential,Other,downtown,1926,8,0,102761,,68.80000305,2.16,Électricité & Vapeur,98101.0,6600,Other - Entertainment/Public Assembly
NonResidential,Hotel,downtown,1904,15,0,163984,43.0,86.59999847,2.39,Électricité & GazNaturel,98104.0,9390,Hotel
NonResidential,Hotel,downtown,1969,11,19279,133884,30.0,124.3000031,4.51,Mixte,98101.0,9420,Hotel
NonResidential,Hotel,downtown,1998,25,61161,272015,36.0,80.40000153,2.22,Mixte,98101.0,9420,Hotel
NonResidential,Hotel,downtown,1928,9,0,65009,48.0,97.80000305,5.05,Mixte,98104.0,9420,Hotel
NonResidential,Hotel,downtown,1980,33,57600,258352,58.0,76.19999695,2.05,Mixte,98101.0,9420,Hotel
NonResidential,Hotel,downtown,1922,11,25200,66990,35.0,165.8999939,5.55,Mixte,98101.0,9420,Hotel
Nonresidential COS,Other,downtown,2004,11,57000,355000,,51.09999847,0.44,Électricité,98154.0,9420,Library
NonResidential,Other,downtown,1930,6,0,103911,,78.40000153,4.18,Vapeur & Électricité,98104.0,9420,Fitness Center/Health Club/Gym
NonResidential,Hotel,downtown,1983,28,85000,331281,31.0,98.59999847,1.93,Électricité & GazNaturel,98104.0,9420,Hotel
NonResidential,Mixed Use Property,downtown,1907,5,0,57452,,137.1000061,4.75,Mixte,98104.0,9420,Social/Meeting Hall
NonResidential,Hotel,downtown,1916,10,0,104352,39.0,97.30000305,3.35,Électricité & Vapeur,98104.0,9420,Hotel
NonResidential,Other,downtown,1916,10,0,540360,76.0,87.5,2.34,Électricité & GazNaturel,98104.0,9420,Courthouse
NonResidential,Other,downtown,1985,19,0,385274,,128.6000061,4.41,GazNaturel & Électricité,98104.0,9420,Other
NonResidential,Hotel,northeast,2001,6,30586,58006,84.0,63.29999924,1.02,Électricité & GazNaturel,98105.0,11420,Hotel
NonResidential,University,downtown,1928,7,0,126593,,97.5,3.07,GazNaturel & Électricité,98121.0,6600,College/University
NonResidential,Other,downtown,1930,2,0,67224,,19.5,0.14,Électricité,98101.0,6600,Automobile Dealership
NonResidential,Hotel,east,1991,8,30301,128375,,46.29999924,1.62,GazNaturel,98101.0,6600,Hotel
NonResidential,Hotel,downtown,2001,10,38281,133585,57.0,86.69999695,1.91,Électricité & GazNaturel,98101.0,6600,Hotel
NonResidential,Hotel,downtown,1978,5,16200,52210,57.0,95.0,1.88,Électricité & GazNaturel,98121.0,6970,Hotel
